Link,Username,Content
https://twitter.com/gintamamovie/status/1362378834394324999,gintamamovie,"【#よりぬき銀魂ザファイナル】

「親愛なる友人、珍万福くんへ。」

#銀魂ザファイナル https://t.co/L07FRdgL8S"
https://twitter.com/gintamamovie/status/1362326054925295620,gintamamovie,"【これが万事屋の日常！】

アニメ『銀魂』史上最大の興行収入も目前!?『#銀魂ザファイナル』本編映像解禁！満身創痍でかぶき町に帰ってきた万事屋たち…しかし銀さんがエンディングを偽装!?新八のツッコミも追いつかない怒涛の展開の連続にご注目ください！！

#たまご焼きがおいしかったです https://t.co/dEbp2acl8C"
https://twitter.com/gintamamovie/status/1362016463570104325,gintamamovie,"【#よりぬき銀魂ザファイナル】

「アイツの…お前たちの最後の悪さ…その尻を拭うまで、この俺がここを動くわけにはいくまいよ」

#銀魂ザファイナル https://t.co/FeQvfDXBG1"
https://twitter.com/gintamamovie/status/1361654060588421124,gintamamovie,"【#よりぬき銀魂ザファイナル】

「この手によって…失ったものは…取り戻す。…それがオレ達、…松陽の弟子ってもんだろ？」

#銀魂ザファイナル https://t.co/Kj9lKfaZ3V"
https://twitter.com/gintamamovie/status/1361601216443076611,gintamamovie,"【1⃣0⃣0⃣万人突破ありがとうきびウンコ】

㊗️『#銀魂ザファイナル』観客動員数100万人突破記念🎊
皆様への感謝の気持ちをこめて＜フォロー＆この投稿をRT＞で抽選で14名様に #空知英秋 先生描き下ろしビジュアルポスターや豪華グッズを🎁

これからも『銀魂』をよろしくお願いしまァアアアす!! https://t.co/1VhSU9J0yJ"
https://twitter.com/gintamamovie/status/1360496524963192842,gintamamovie,"【舞台裏の皆さん📸】

観客動員数“ほぼ”100万人突破記念(？)最後の舞台挨拶&amp;ライブビューイング終了後の #杉田智和 さん、#阪口大助 さん、#釘宮理恵 さん、#千葉進歩 さん、#中井和哉 さん、#鈴村健一 さん、#太田哲治 さんを✌️

『#銀魂ザファイナル』引き続きよろしくお願いいたします!! https://t.co/Hnsnwu5eFU"
https://twitter.com/gintamamovie/status/1360489115477676033,gintamamovie,"最後に杉田さんからの「この映画に出てくる最後、さよならという言葉も複数の意味を持ったものに進化、変化してるんですよね。その向こう側に行こうとするものを止めたり、否定したりは見たことないんですね。

#銀魂ザファイナル https://t.co/E2qzH75Aco"
https://twitter.com/gintamamovie/status/1360484856061284356,gintamamovie,"中井さん「銀魂、終わりはするんですけど消えるわけではないので、作品自体が隙間というか余白というか余裕というかが含んでいる作品で…なんとなく今はじゃ！というのが皆さんに言うのが相応しいかなと思っています。ありがとうございました！」

#銀魂ザファイナル https://t.co/pgxvoj5dVm"
https://twitter.com/gintamamovie/status/1360483924070174726,gintamamovie,"鈴村さん「15年間ずっと関わらせていただいて感謝しています。最近はスケジュール帳に銀魂という文字がなくなって寂しく感じています。僕らは収録終わってますけど、銀魂は永遠なんだろうなと再確認できました。きっと皆さんの心に残り続ける作品なんだろうなと思います。」

#銀魂ザファイナル https://t.co/A0t7ZFdu2F"
https://twitter.com/gintamamovie/status/1360446403302944769,gintamamovie,"杉田さん「銀魂に携わって、最後やファイナルという言葉の意味や概念が変わりつつあるなと。本当に終わるって意味の最後と、最後に大きなものに立ち向かう、一緒に盛り上がるその向こう側を、夢のカケラをそれぞれ持っていてそれを共有し続ける。

#銀魂ザファイナル https://t.co/MNs4SByqXU"
https://twitter.com/gintamamovie/status/1360444042744524805,gintamamovie,"阪口さん「一旦は終わりなんでしょう！が、さっきアンケートを見てみても信じたくない方が結構いらっしゃったので、皆さまの想いがもしかしたら形になるかもしれないですし、銀魂の世界はこれからも続いていくと思うので、銀魂のこと忘れないでいてあげてください。」

#銀魂ザファイナル https://t.co/lsMCO5AgCo"
https://twitter.com/oricon_anime_/status/1358645332591054850,oricon_anime_,"映画『銀魂』公開1ヶ月で動員数100万人&amp;興収14億円を突破🎊8週目の特典も解禁

▼""酒も酌み交わしてみたかった…""松陽先生＆教え子たちの描き下ろしミニポスター
https://t.co/q0HDfM6nHW

#銀魂ザファイナル @gintamamovie https://t.co/pEyS2WbGjf"
https://twitter.com/gintamamovie/status/1358635528757735425,gintamamovie,"【銀さんの年齢がついに…!?】

2月中旬にYouTube「銀魂チャンネル」にて「緊急特番！徹底解剖『#銀魂ザファイナル』スペシャル」配信決定👏山崎退役 #太田哲治 さんも遂に登場✨銀さんの年齢が明かされるなど掟破りの㊙話が…!?

チャンネル登録をしてお待ちください！
▶https://t.co/yzFRwnxCDm"
https://twitter.com/gintamamovie/status/1358634274585382914,gintamamovie,"【㊗1⃣0⃣0⃣万人突破🎊】

『#銀魂ザファイナル』ついに観客動員数100万人を突破しましたァアア🙌
大ヒット記念🎉公開第8週(2/26～)入場者プレゼントが、銀さんたちが酒を酌み交わす""もしも""の世界を描く「銀魂 THE FINAL」""描きおろしミニポスター""に決定しました！🌸 https://t.co/aZBdWa1RsS"
https://twitter.com/GINTAMA_PR/status/1356067790449385473,GINTAMA_PR,"【ラインスタンプ】ONE PIECE×銀魂スタンプ販売開始！
「ONE PIECE」の人気に便乗した「銀魂」スタンプです！さりげなく銀魂をアピールしちゃおう♪
⇒https://t.co/bIAKWWuqxw 
#銀魂 #gintama_pr #gintama #銀魂ザファイナル https://t.co/4DRQyr6lo8"
https://twitter.com/gintamamovie/status/1354685810092560385,gintamamovie,"【明日からの入場者プレゼントは…】

公開第4週 1/29〜2/4
#空知英秋 先生描きおろし
たぶん最後(?)の＜万事屋＞イラスト＆＜炭治郎＆柱＞集合ビジュアル　両面ミニポスター✨

#銀魂ザファイナル は皆さまの""記憶""に残る作品を目指します!!

▼上映劇場は▼
https://t.co/JHZznLfc0c https://t.co/KktTyXS3UC"
https://twitter.com/gintamamovie/status/1353666426356305920,gintamamovie,"／
㊗アニメ「銀魂」史上最速
1⃣0⃣億円突破ァアア!!!
＼

『#銀魂ザファイナル』公開16日目にして10億円を突破🎊
さらに万事屋＆真選組キャストによる㊙副音声も大好評👏本作まだまだ走り続けます💨皆さま思い思いのタイミングでお楽しみ下さい🎬
https://t.co/JHZznKXB8E

#銀魂ありがとうきびウンコ https://t.co/tiksuh4Ajy"
